是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
164	微型断路器	iC65 N-C 20A /2P	施耐德	iC65	标准断路器	6KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
165	微型断路器	iC65 N-C 25A /2P	施耐德	iC65	标准断路器	6KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
166	微型断路器	iC65 N-C 32A /2P	施耐德	iC65	标准断路器	6KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
167	微型断路器	iC65 N-C 40A /2P	施耐德	iC65	标准断路器	6KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
168	微型断路器	iC65 N-C 50A /2P	施耐德	iC65	标准断路器	6KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
169	微型断路器	iC65 N-C 63A /2P	施耐德	iC65	标准断路器	6KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
170	微型断路器	iC65 H-C 1A /2P	施耐德	iC65	标准断路器	10KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
171	微型断路器	iC65 H-C 2A /2P	施耐德	iC65	标准断路器	10KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
172	微型断路器	iC65 H-C 3A /2P	施耐德	iC65	标准断路器	10KA	C型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
173	微型断路器	iC65 H-C 4A /2P	施耐德	iC65	标准断路器	10KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
174	微型断路器	iC65 H-C 6A /2P	施耐德	iC65	标准断路器	10KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
175	微型断路器	iC65 H-C 10A /2P	施耐德	iC65	标准断路器	10KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
176	微型断路器	iC65 H-C 16A /2P	施耐德	iC65	标准断路器	10KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
177	微型断路器	iC65 H-C 20A /2P	施耐德	iC65	标准断路器	10KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
178	微型断路器	iC65 H-C 25A /2P	施耐德	iC65	标准断路器	10KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
179	微型断路器	iC65 H-C 32A /2P	施耐德	iC65	标准断路器	10KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
180	微型断路器	iC65 H-C 40A /2P	施耐德	iC65	标准断路器	10KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
181	微型断路器	iC65 H-C 50A /2P	施耐德	iC65	标准断路器	10KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
182	微型断路器	iC65 H-C 63A /2P	施耐德	iC65	标准断路器	10KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
183	微型断路器	iC65 L-C 1A /2P	施耐德	iC65	标准断路器	15KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
184	微型断路器	iC65 L-C 2A /2P	施耐德	iC65	标准断路器	15KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
